"id","date","state_name","state_code","cgst","sgst","igst","cess"
88,"2017-09-01","Manipur","14",4.6,7.91,1.03,0.18
89,"2017-09-01","Meghalaya","17",8.46,14.05,39.94,0.09
90,"2017-09-01","Mizoram","15",2.46,4.46,0.6,0.0
91,"2017-09-01","Nagaland","13",2.97,5.67,4.4,0.13
92,"2017-09-01","Odisha","21",332.0,450.53,468.11,465.56
93,"2017-09-01","Other Territory","97",0.0,0.0,10.85,0.0
94,"2017-09-01","Puducherry","34",19.83,32.57,131.51,0.41
95,"2017-09-01","Punjab","03",276.49,491.65,507.03,13.87
96,"2017-09-01","Rajasthan","08",518.84,774.14,833.47,157.78
97,"2017-09-01","Sikkim","11",4.09,7.18,144.99,0.02
98,"2017-09-01","Tamil Nadu","33",1487.85,2220.66,1972.8,503.27
99,"2017-09-01","Telangana","36",565.52,803.39,863.21,484.68
100,"2017-09-01","The Dadra And Nagar Haveli And Daman And Diu","38",20.61,32.74,238.98,0.21
101,"2017-09-01","Tripura","16",11.13,19.08,3.29,0.49
102,"2017-09-01","Uttar Pradesh","09",933.99,1438.64,1381.1,1085.93
103,"2017-09-01","Uttarakhand","05",150.13,307.53,998.81,14.95
104,"2017-09-01","West Bengal","19",829.96,1183.08,670.45,259.31
105,"2017-10-01","Andaman And Nicobar Islands","35",8.0,9.85,0.7,0.04
106,"2017-10-01","Andhra Pradesh","28",435.16,701.86,670.84,20.72
107,"2017-10-01","Arunachal Pradesh","12",4.16,6.05,2.22,0.21
108,"2017-10-01","Assam","18",147.93,237.68,200.29,38.66
109,"2017-10-01","Bihar","10",140.8,307.71,65.02,131.63
110,"2017-10-01","Chandigarh","04",29.25,42.09,72.23,1.03
111,"2017-10-01","Chhattisgarh","22",220.93,306.23,479.93,547.99
112,"2017-10-01","Delhi","07",760.16,1069.15,1588.95,108.57
113,"2017-10-01","Goa","30",69.24,105.51,168.52,2.94
114,"2017-10-01","Gujarat","24",1400.77,1880.76,2286.68,314.58
115,"2017-10-01","Haryana","06",700.03,1144.46,2849.56,369.15
116,"2017-10-01","Himachal Pradesh","02",70.77,133.42,494.68,1.53
117,"2017-10-01","Jammu And Kashmir","01",63.39,113.18,108.06,3.09
118,"2017-10-01","Jharkhand","20",230.02,347.48,715.45,453.73
119,"2017-10-01","Karnataka","29",1283.33,1921.92,2232.16,811.09
120,"2017-10-01","Kerala","32",458.24,736.9,254.35,7.65
121,"2017-10-01","Lakshadweep","31",0.28,0.3,0.02,0.0
