GST Id,Date,State Name,State Code,CGST,SGST,IGST,CESS,Total_GST,Year,Month,Region_type
194,01-12-2017,Madhya Pradesh,23,416.88,599.09,491.69,365.85,1873.5100000000002,2017-01-01,1900-12-01,State
195,01-12-2017,Maharashtra,27,3359.82,4361.38,4151.06,937.74,12810.000000000002,2017-01-01,1900-12-01,State
196,01-12-2017,Manipur,14,4.39,8.52,0.73,0.08,13.72,2017-01-01,1900-12-01,State
197,01-12-2017,Meghalaya,17,8.82,15.12,46.26,0.18,70.38,2017-01-01,1900-12-01,State
198,01-12-2017,Mizoram,15,2.04,3.55,0.91,0.08,6.58,2017-01-01,1900-12-01,State
199,01-12-2017,Nagaland,13,2.62,4.27,3.0,0.44,10.33,2017-01-01,1900-12-01,State
200,01-12-2017,Odisha,21,301.57,400.68,505.74,496.85,1704.8400000000001,2017-01-01,1900-12-01,State
201,01-12-2017,Other Territory,97,7.92,11.78,26.75,0.0,46.45,2017-01-01,1900-12-01,State
202,01-12-2017,Puducherry,34,16.9,27.79,116.37,0.09,161.15,2017-01-01,1900-12-01,Union Territory
203,01-12-2017,Punjab,3,225.83,390.35,455.67,5.62,1077.47,2017-01-01,1900-12-01,State
204,01-12-2017,Rajasthan,8,546.29,746.48,723.17,132.05,2147.9900000000002,2017-01-01,1900-12-01,State
205,01-12-2017,Sikkim,11,6.53,10.19,147.0,0.02,163.74,2017-01-01,1900-12-01,State
206,01-12-2017,Tamil Nadu,33,1229.68,1796.28,1460.74,527.75,5014.45,2017-01-01,1900-12-01,State
207,01-12-2017,Telangana,36,520.44,741.2,714.8,513.29,2489.73,2017-01-01,1900-12-01,State
208,01-12-2017,The Dadra And Nagar Haveli And Daman And Diu,38,20.0,31.03,182.31,0.06,233.4,2017-01-01,1900-12-01,State
209,01-12-2017,Tripura,16,9.91,16.66,2.79,0.44,29.8,2017-01-01,1900-12-01,State
210,01-12-2017,Uttar Pradesh,9,842.9,1317.77,1220.74,1007.36,4388.7699999999995,2017-01-01,1900-12-01,State
211,01-12-2017,Uttarakhand,5,132.39,263.5,778.49,11.8,1186.18,2017-01-01,1900-12-01,State
212,01-12-2017,West Bengal,19,635.11,957.5,703.87,252.01,2548.49,2017-01-01,1900-12-01,State
213,01-01-2018,Andaman And Nicobar Islands,35,5.66,7.95,0.87,0.03,14.509999999999998,2018-01-01,1900-01-01,Union Territory
214,01-01-2018,Andhra Pradesh,28,489.06,713.84,697.32,20.58,1920.8000000000002,2018-01-01,1900-01-01,State
215,01-01-2018,Arunachal Pradesh,12,4.72,8.57,3.03,0.14,16.46,2018-01-01,1900-01-01,State
216,01-01-2018,Assam,18,141.39,222.14,175.96,38.46,577.95,2018-01-01,1900-01-01,State
217,01-01-2018,Bihar,10,136.37,280.74,78.45,146.0,641.56,2018-01-01,1900-01-01,State
218,01-01-2018,Cbic,98,0.0,0.0,18.75,0.0,18.75,2018-01-01,1900-01-01,State
219,01-01-2018,Chandigarh,4,27.01,41.53,77.64,1.35,147.53,2018-01-01,1900-01-01,Union Territory
220,01-01-2018,Chhattisgarh,22,279.03,367.35,530.4,597.23,1774.01,2018-01-01,1900-01-01,State
221,01-01-2018,Delhi,7,825.37,1099.62,1596.28,81.45,3602.7199999999993,2018-01-01,1900-01-01,Union Territory
222,01-01-2018,Goa,30,82.76,116.78,103.7,2.27,305.51,2018-01-01,1900-01-01,State
223,01-01-2018,Gujarat,24,1532.26,2060.8,1876.07,309.57,5778.7,2018-01-01,1900-01-01,State
224,01-01-2018,Haryana,6,609.78,965.79,2376.42,310.94,4262.929999999999,2018-01-01,1900-01-01,State
225,01-01-2018,Himachal Pradesh,2,78.44,125.25,394.38,1.59,599.66,2018-01-01,1900-01-01,State
226,01-01-2018,Jammu And Kashmir,1,92.21,144.58,65.21,4.37,306.37,2018-01-01,1900-01-01,Union Territory
227,01-01-2018,Jharkhand,20,242.19,354.26,883.4,394.44,1874.29,2018-01-01,1900-01-01,State
228,01-01-2018,Karnataka,29,1257.76,1810.44,2049.01,873.84,5991.05,2018-01-01,1900-01-01,State
229,01-01-2018,Kerala,32,413.66,698.46,244.36,11.29,1367.77,2018-01-01,1900-01-01,State
230,01-01-2018,Lakshadweep,31,0.3,0.35,0.03,0.0,0.6799999999999999,2018-01-01,1900-01-01,Union Territory
231,01-01-2018,Madhya Pradesh,23,416.18,613.8,489.92,369.97,1889.8700000000001,2018-01-01,1900-01-01,State
232,01-01-2018,Maharashtra,27,3263.95,4450.34,4657.39,984.98,13356.66,2018-01-01,1900-01-01,State
233,01-01-2018,Manipur,14,3.71,7.59,0.84,0.16,12.3,2018-01-01,1900-01-01,State
234,01-01-2018,Meghalaya,17,12.89,21.25,51.61,4.72,90.47,2018-01-01,1900-01-01,State
235,01-01-2018,Mizoram,15,2.1,3.69,2.03,0.02,7.84,2018-01-01,1900-01-01,State
236,01-01-2018,Nagaland,13,4.04,6.19,4.82,0.38,15.430000000000001,2018-01-01,1900-01-01,State
237,01-01-2018,Odisha,21,355.36,470.56,542.25,590.33,1958.5,2018-01-01,1900-01-01,State
238,01-01-2018,Other Territory,97,73.15,113.97,36.94,0.0,224.06,2018-01-01,1900-01-01,State
239,01-01-2018,Puducherry,34,20.57,30.9,109.73,1.57,162.76999999999998,2018-01-01,1900-01-01,Union Territory
240,01-01-2018,Punjab,3,239.73,424.34,410.81,12.64,1087.52,2018-01-01,1900-01-01,State
241,01-01-2018,Rajasthan,8,599.43,858.55,781.42,154.81,2394.21,2018-01-01,1900-01-01,State
242,01-01-2018,Sikkim,11,6.67,11.45,133.58,0.01,151.71,2018-01-01,1900-01-01,State
243,01-01-2018,Tamil Nadu,33,1282.27,1889.36,1555.99,588.31,5315.93,2018-01-01,1900-01-01,State
244,01-01-2018,Telangana,36,586.35,856.59,768.04,525.74,2736.7200000000003,2018-01-01,1900-01-01,State
